SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
CN1CCCC(C)(C)[C@H]1CNC(=O)N1CCC(S(C)(=O)=O)CC1,13.212334168400758 0.0 15.116608065707286 5.41499046939678 50.82253975021543 39.48246678983889 0.0 0.0 0.0 15.868367648755573,5.316788604006331 75.022976607337 9.837253136417502 5.41499046939678 39.53076089108529 0.0 0.0 0.0 0.0 4.794537184071822,15.116608065707286 0.0 13.212334168400758 0.0 0.0 13.847474399381248 44.69070534969059 31.93187923039709 5.249938029982174 9.837253136417502 0.0 0.0 0.0 6.031114512338072
C/C=C/C[C@@H](CO)NC(=O)[C@H]1CCN(C(=O)OC(C)(C)C)[C@@H](C)C1,19.4324647167844 0.0 10.216698334856808 5.917906046161393 71.56588333651075 13.151638370425493 12.152040213667762 0.0 0.0 12.00041980028992,5.316788604006331 52.8432277656862 9.53140013787187 5.917906046161393 53.88115086723114 12.152040213667762 0.0 0.0 0.0 4.794537184071822,20.060088683497565 4.794537184071822 4.794537184071822 0.0 0.0 12.152040213667762 53.88115086723114 18.50450328122193 12.648722793660879 5.601050810983688 0.0 5.907179729351506 0.0 6.093240070938415
CN(CCN(C)C(=O)c1ccnn1C)C(=O)CN(C)S(C)(=O)=O,18.00687135247258 0.0 23.885520196443412 7.04767198267719 0.0 47.0330543492807 17.957138634923147 0.0 0.0 21.837650612110593,0.0 91.15073098875605 21.865500320156595 0.0 10.488465178920283 12.263210640074686 0.0 0.0 0.0 0.0,9.799819461700956 14.270877303288827 8.417796984328938 9.40389779959727 0.0 0.0 6.06636706846161 47.47704431414698 12.80052558942398 5.693927994848461 0.0 15.930470882759089 5.907179729351506 0.0
O=C(CNC(=O)C1CCCCC1)OCC(=O)N1CCCC1,19.120474506015515 0.0 10.216698334856808 5.917906046161393 44.94575136048208 26.241151182250643 0.0 0.0 0.0 17.78366474665486,5.316788604006331 48.92472565975598 19.120474506015515 5.917906046161393 44.94575136048208 0.0 0.0 0.0 0.0 0.0,14.953561288656857 14.383611552215466 0.0 0.0 0.0 19.26246486877803 25.683286491704038 19.007418857986544 0.0 6.544756405912575 6.606881964512918 5.907179729351506 5.907179729351506 5.969305287951849
CCN(CC)[C@H]1CCN(C(=O)C(=O)N2CCn3cnnc3[C@H]2C)C1,9.589074368143644 0.0 29.464192456944865 0.0 45.82047128620637 32.72378202956288 12.151724572764468 0.0 0.0 11.814359458703011,0.0 80.04417477435872 16.133830774056218 0.0 39.05827854914577 6.3273200747645415 0.0 0.0 0.0 0.0,14.366919109492311 14.48898409899412 0.0 0.0 10.197363616602075 13.847474399381248 26.434071634441782 32.22086645279826 6.041840829147961 6.3273200747645415 5.824404497999927 0.0 0.0 11.814359458703011
C[C@@H](c1ccccn1)N(C)C(=O)CCc1ccccc1,4.794537184071822 0.0 9.883888251797686 0.0 25.807221274690605 7.04767198267719 65.98515960585141 0.0 0.0 5.907179729351506,0.0 22.83873996382638 11.21535880699783 0.0 30.64377913831005 54.727780119305955 0.0 0.0 0.0 0.0,4.899909730850478 9.77851570501903 0.0 0.0 0.0 36.39820241076966 31.040744451236847 19.665337177216276 11.735768823996422 0.0 0.0 5.907179729351506 0.0 0.0
Cc1nc2ccc(C(=O)N[C@@H](C)C3CN(C(=O)C(C)C)C3)cc2o1,14.006225305196992 0.0 15.200676855804018 11.835812092322787 33.736789627910454 13.08951281182515 29.653276619107732 0.0 0.0 22.914080317961513,5.316788604006331 40.829601351473805 4.794537184071822 18.75954929201341 37.0199241968666 22.616252142438178 0.0 11.099720859258504 0.0 0.0,14.633849271910154 9.589074368143644 4.9839785209472085 0.0 0.0 13.847474399381248 25.122838405075456 43.454354424683515 0.0 5.516700717616262 11.47374406366815 5.907179729351506 5.907179729351506 0.0
Cc1cccc(Cl)c1CN[C@@H](C)[C@@H]1CCN(C(=O)c2cocn2)C1,9.211688121125169 0.0 15.200676855804016 5.917906046161393 32.85489325736779 13.08951281182515 52.699367991798184 0.0 0.0 17.508119619584022,5.316788604006331 34.9224216221223 6.544756405912575 12.841643245852017 34.95992698493091 35.273054636867755 5.022633313741326 0.0 0.0 0.0,14.633849271910154 4.794537184071822 4.9839785209472085 0.0 0.0 23.733674027155736 43.37947212032425 30.698743360627013 0.0 6.263162995639057 12.087567493638984 0.0 5.907179729351506 0.0
Cc1nnc(-c2ccc(NC(=O)C[C@H](C)C3CC3)cc2)o1,9.211688121125169 0.0 10.197363616602075 11.835812092322787 33.10993926815928 5.316788604006331 30.156192195872347 0.0 11.454175413722904 11.594566004035068,5.316788604006331 16.10454334595358 4.794537184071822 18.75954929201341 32.07692599049456 28.682619210899787 0.0 11.454175413722904 0.0 5.687386274683562,9.733939541059678 4.794537184071822 0.0 0.0 10.197363616602075 6.923737199690624 48.94292361202125 24.59539658899719 0.0 0.0 0.0 17.688627573403323 0.0 0.0
COCc1cc(C(=O)N[C@@H]2CC[C@H]3CN(CC=C(C)C)C[C@H]3C2)no1,14.054495074845217 0.0 15.373361591982253 11.835812092322787 45.75866206182016 26.74406675901526 29.169667119087663 0.0 0.0 5.907179729351506,5.316788604006331 48.74966030549064 11.343744918312968 11.835812092322787 49.358651865954 22.238586642338106 0.0 0.0 0.0 0.0,14.576746494779727 9.694446914922299 0.0 0.0 0.0 16.805787894028594 44.94575136048206 38.85227465662483 0.0 6.606881964512918 11.454175413722904 0.0 5.907179729351506 0.0
COC(C)(C)C[C@@H](C)OCC(=O)Oc1ccccc1,19.005126045471968 0.0 0.0 0.0 38.89705042072987 13.716679505790452 30.33183534230805 0.0 5.749511833283905 5.969305287951849,4.736862953800049 31.391001992474294 14.268263091671919 0.0 27.19203322199788 30.33183534230805 0.0 0.0 0.0 0.0,14.210588861400147 0.0 4.794537184071822 0.0 0.0 18.19910120538483 32.903945735995094 13.530619164203543 11.70501719873199 12.356393797796823 0.0 0.0 0.0 5.969305287951849
C[C@@H]1OCC[C@@H]1c1nnc(C2(Oc3ccccc3)CC2)o1,13.890876844653445 0.0 10.197363616602075 0.0 43.80912531336203 6.606881964512918 42.113283186359865 0.0 5.749511833283905 0.0,4.736862953800049 22.908211968863295 10.337913764783737 0.0 43.88555595868186 34.7489862793614 0.0 0.0 0.0 0.0,13.890876844653445 0.0 0.0 0.0 10.197363616602075 18.19910120538483 25.477292959539852 19.448525210364938 12.021872433909696 5.749511833283905 5.601050810983688 5.890723922025908 5.890723922025908 0.0
CC[C@@H](C#N)N(CC)C(=O)c1ccc(SC)cc1,4.794537184071822 5.261891554738487 4.899909730850478 0.0 31.205620326972994 12.80052558942398 29.828919765543436 0.0 6.069221312792274 17.66906467874262,0.0 29.649455878773924 0.0 11.33111286753076 30.626284698076073 29.160951749364216 0.0 0.0 0.0 0.0,4.899909730850478 4.794537184071822 0.0 5.261891554738487 11.761884949391115 6.923737199690624 43.865796279974475 17.003691373127346 6.069221312792274 6.041840829147961 0.0 0.0 5.907179729351506 0.0
CC[C@@H](OC)C(=O)Nc1ccnn1Cc1ccc(Cl)cc1,9.53140013787187 0.0 9.780484743446223 0.0 25.99328161627751 12.426586145283864 47.114763719359445 0.0 0.0 23.325982397419047,5.316788604006331 28.901428401823566 16.076156543784446 0.0 18.90801031431363 36.52867891392113 5.022633313741326 0.0 0.0 5.817862777835028,10.05365155780638 4.794537184071822 4.681802935145185 5.098681808301038 0.0 30.657411226846357 24.117007251546223 18.19879792348047 12.741599977525652 11.92182916558333 0.0 0.0 5.907179729351506 0.0
CN(Cc1ccccc1F)C(=O)c1ncoc1C1CC1,13.602103168799989 0.0 9.883888251797686 0.0 25.304305697925987 7.04767198267719 53.49395551910275 0.0 0.0 5.907179729351506,0.0 22.83873996382638 6.544756405912575 5.817220841045895 40.571713381505134 35.076258709690315 0.0 0.0 0.0 4.39041504767482,9.317060667903824 4.794537184071822 9.374393568622029 0.0 0.0 18.19910120538483 18.90801031431363 25.073785926448153 0.0 11.577468259920337 12.087567493638984 0.0 5.907179729351506 0.0
CS(C)(=O)=NC(=O)CN1CCOC[C@@H]1[C@H]1CCOC1,18.477161583836388 0.0 4.899909730850478 10.280605337243564 12.462662452073971 52.02857903689962 0.0 0.0 0.0 15.636191915683433,0.0 73.08640781841403 23.997275278003848 5.917906046161393 6.4208216229260096 4.362699291082171 0.0 0.0 0.0 0.0,9.473725907600098 9.694446914922299 4.208898492164469 4.362699291082171 0.0 0.0 6.4208216229260096 47.35193579908958 26.36540229945133 0.0 0.0 0.0 5.907179729351506 0.0
Cc1cccc(C)c1COC(=O)C(C)(C)n1cc([N+](=O)[O-])cn1,14.45471118668954 0.0 9.780484743446223 0.0 39.840756015658755 0.0 57.39746109246754 0.0 0.0 11.656691562635412,0.0 20.67310108021574 21.677207354768136 23.96179266814682 30.537828874472236 30.592788348610984 0.0 0.0 0.0 5.687386274683562,4.736862953800049 10.114318268765572 9.476340119217006 5.098681808301038 0.0 18.19910120538483 44.38530327385348 0.0 4.923311048817671 19.00056910773907 5.538925252383345 0.0 0.0 11.656691562635412
CCCCN(C(=O)CCOC(C)C)c1cccnc1,9.53140013787187 0.0 4.9839785209472085 0.0 46.1376428555982 18.051548101275973 24.526421280149375 0.0 0.0 11.594566004035068,4.899909730850478 30.146763008472508 9.53140013787187 0.0 40.0336764678499 24.526421280149375 0.0 0.0 0.0 5.687386274683562,9.636772684650527 9.77851570501903 0.0 0.0 0.0 13.344558822616634 32.40103015923048 12.741599977525652 31.015899821483867 0.0 0.0 5.907179729351506 0.0 0.0
C[C@@H]1CCC[C@H](C=NNCCOCC(F)(F)F)C1,17.908108096824506 0.0 5.425791397110385 16.93721961806251 38.78332220883814 19.75852033493841 0.0 0.0 0.0 6.2146005795353165,5.425791397110385 32.1494194319172 4.736862953800049 11.835812092322787 32.60702369139466 5.101407525739723 0.0 0.0 0.0 13.171245143024459,10.162654350910433 0.0 0.0 18.27265266876418 0.0 19.765380445542643 24.677455338174806 6.2146005795353165 13.151638370425493 6.606881964512918 0.0 0.0 0.0 6.176298517443475
Cc1nnc(CC(=O)N2c3ccncc3C[C@@H]2C)o1,9.211688121125169 0.0 15.181342137549283 0.0 32.730958474381225 4.899909730850478 35.804953547436575 0.0 0.0 11.594566004035068,4.899909730850478 27.13036269604875 17.63618042992384 6.923737199690624 24.268636535439438 22.87720514874111 0.0 0.0 0.0 5.687386274683562,9.317060667903824 9.77851570501903 0.0 0.0 10.197363616602075 0.0 24.97437738277524 25.359265172064738 5.687386274683562 6.4208216229260096 0.0 17.688627573403323 0.0 0.0
CCOC(=O)c1ccc(O[C@@H]2CCO[C@H](C)C2)c(Cl)c1,19.005126045471968 0.0 0.0 0.0 38.89705042072987 13.213763929025836 28.785186010823153 0.0 5.749511833283905 17.570245178184365,4.736862953800049 31.391001992474294 9.473725907600098 0.0 37.04710632100208 18.19910120538483 5.022633313741326 0.0 0.0 0.0,14.210588861400147 0.0 4.794537184071822 0.0 0.0 11.600939890232516 32.046575604766076 12.841643245852019 29.90381512221246 11.853478221032208 0.0 0.0 0.0 5.969305287951849
C=CCN[C@H]1CCN(C(=O)c2cc(C)cs2)[C@@H](C)C1,4.794537184071822 0.0 10.216698334856808 0.0 38.7727993035292 13.08951281182515 34.541984314758196 0.0 0.0 17.243965607286242,5.316788604006331 35.980283930323054 0.0 6.923737199690624 35.00051631501276 24.101385629359903 0.0 0.0 0.0 0.0,10.216698334856808 4.794537184071822 0.0 0.0 17.915721561533235 6.076020106833881 43.69899897585779 25.17319447012107 4.877147193701299 0.0 0.0 0.0 5.907179729351506 0.0
C[C@H]1[C@H](C(=O)Nc2c3c(ccc2Cl)OCC3)C1(F)F,18.31223023322151 0.0 0.0 11.835812092322787 19.26708799071121 11.923670568519249 22.718818942361544 0.0 5.749511833283905 23.195505894267583,10.05365155780638 18.436590861959 11.21535880699783 11.835812092322787 12.487188691387619 12.13273413692322 5.022633313741326 0.0 0.0 14.468216370033202,10.05365155780638 4.794537184071822 8.78083009534964 0.0 0.0 18.524677089923138 12.13273413692322 17.9021791607844 17.316901552937807 11.6674178794453 0.0 5.907179729351506 5.922529168094576 0.0
C#Cc1cccc(CN[C@@H](C)c2c(C)onc2CC)c1,4.523094936973348 0.0 10.473451861131776 0.0 39.77863045705841 0.0 52.40999816266033 0.0 12.343784214475903 0.0,5.316788604006331 5.156663257125445 12.965578028838586 19.267521414166527 48.03384511734309 28.788563210819788 0.0 0.0 0.0 0.0,9.83988354097968 0.0 0.0 0.0 6.423349895620259 30.13356891259493 37.964481650927475 23.713500218454527 5.693927994848461 5.760247418874442 0.0 0.0 0.0 0.0
Cc1ncccc1CC(=O)N1CCC(F)(F)[C@H](C)C1,13.575367279421462 0.0 9.883888251797686 5.917906046161393 32.611646813327845 13.08951281182515 29.58695719508175 0.0 0.0 5.907179729351506,0.0 34.80310996106892 11.21535880699783 12.841643245852017 24.60193830916209 18.329577708536295 0.0 0.0 0.0 8.78083009534964,4.899909730850478 9.77851570501903 8.78083009534964 0.0 0.0 12.990104268152233 18.55355575984923 37.31901204737409 6.4208216229260096 0.0 0.0 5.907179729351506 5.922529168094576 0.0
C=CCCOCC(=O)N1CCCN(C(=O)Oc2ccccc2)CC1,19.06280027574374 0.0 9.799819461700956 0.0 12.841643245852019 39.392789552676135 42.98679113274043 0.0 5.749511833283905 12.00041980028992,4.736862953800049 61.19302881466701 9.53140013787187 0.0 12.841643245852019 42.98679113274043 0.0 0.0 0.0 4.794537184071822,19.273545369301054 4.794537184071822 4.794537184071822 0.0 6.578935683598497 24.27512131221871 24.974377382775238 26.1790256236503 6.606881964512918 12.356393797796823 0.0 5.907179729351506 0.0 6.093240070938415
CC(C)C(=O)OCc1ccc(OCc2ccncc2)cc1,14.268263091671919 0.0 4.9839785209472085 5.917906046161393 27.061238328407086 0.0 59.9187925373898 0.0 5.749511833283905 5.969305287951849,4.736862953800049 10.953283808899059 22.745164066897708 5.917906046161393 24.974377382775238 48.791889553995816 0.0 0.0 0.0 0.0,9.473725907600098 9.77851570501903 0.0 0.0 0.0 25.980208536304467 35.392371257240434 12.393687143226153 5.917906046161393 18.963275762309742 0.0 0.0 0.0 5.969305287951849
CCCN1CC(OC2CCN(C(=O)[C@@H](C)CC(F)F)CC2)C1,18.31223023322151 0.0 9.799819461700956 5.917906046161393 58.16413841144109 32.72378202956288 0.0 0.0 0.0 5.907179729351506,0.0 67.06415874097114 9.53140013787187 5.917906046161393 39.53076089108529 0.0 0.0 0.0 0.0 8.78083009534964,9.636772684650527 9.694446914922299 8.78083009534964 0.0 0.0 13.847474399381248 25.807221274690605 38.5177532927377 12.207932775496605 0.0 0.0 12.332624474210697 0.0 0.0
C[C@@H]1CCCN1CCNC(=O)[C@@H]1CCCC(=O)N1C,9.589074368143644 0.0 15.116608065707286 0.0 51.1115269726166 26.681941200414915 0.0 0.0 0.0 11.814359458703011,5.316788604006331 60.3798017791148 9.589074368143644 0.0 39.02784531432067 0.0 0.0 0.0 0.0 0.0,10.216698334856808 14.48898409899412 0.0 0.0 0.0 0.0 39.15178009730724 32.59984724657631 0.0 6.041840829147961 0.0 11.814359458703011 0.0 0.0
CC(C)(C#N)CCCOc1nccc(C(F)(F)F)n1,17.908108096824506 5.261891554738487 9.967957041894417 5.41499046939678 32.865416162676745 6.606881964512918 17.957138634923147 0.0 12.07968615237911 0.0,4.736862953800049 16.574839006407334 6.176298517443475 16.74610333692754 32.383045640081725 12.263210640074686 0.0 0.0 0.0 13.171245143024459,4.736862953800049 0.0 4.9839785209472085 23.417115218710155 0.0 0.0 32.75548471369488 6.196843571613076 18.091093746701972 0.0 5.693927994848461 0.0 0.0 12.186763357030312
Cc1nnc(C(=O)N2CCC[C@@H](C(=O)c3ccc(F)cc3)C2)s1,13.979489415818463 0.0 15.097273347452553 5.917906046161393 19.765380445542643 13.08951281182515 45.66138800029486 0.0 0.0 23.02721055365118,0.0 39.877210834994145 0.0 18.658864086897914 38.00941649939819 24.26546827384644 0.0 0.0 0.0 4.39041504767482,4.899909730850478 9.589074368143644 4.39041504767482 0.0 10.197363616602075 11.336785877934737 44.030848719389084 24.57087034968354 0.0 10.82484453789866 5.783244946364939 5.007623696852765 5.907179729351506 0.0
CCN(C)C(=O)OC[C@H]1CCCCN1C(=O)c1n[nH]cc1C,14.325937321943691 0.0 19.99718307830303 0.0 39.15178009730724 26.744066759015258 17.454223058158533 0.0 0.0 12.00041980028992,0.0 64.78351046675616 4.736862953800049 6.923737199690624 42.23811873908593 6.196843571613076 0.0 0.0 0.0 4.794537184071822,14.536682415501005 9.893218992372859 4.794537184071822 5.098681808301038 0.0 0.0 38.673390759856275 26.334028366115415 6.041840829147961 6.606881964512918 5.693927994848461 0.0 5.907179729351506 6.093240070938415
O=C(Nc1cscc1Cl)N1CCO[C@@H](C(F)F)C1,18.31223023322151 0.0 4.899909730850478 0.0 12.529411132607493 25.0131833803444 15.782758854673155 0.0 0.0 34.65622655518889,5.316788604006331 43.15683015213411 4.736862953800049 0.0 0.0 10.76012554093183 5.022633313741326 0.0 0.0 19.262753554105025,14.953561288656857 0.0 13.575367279421462 0.0 11.336785877934737 11.600939890232516 0.0 17.304881946844404 23.861657958850383 6.103966387748303 0.0 0.0 6.425444744859191 6.031114512338072
CC(C)(C)OC(=O)[C@H]1COCCN1C(=O)CC(C)(C)c1ccccc1,19.06280027574374 0.0 4.899909730850478 0.0 58.09738973090755 19.75852033493841 35.89528683400505 0.0 0.0 11.876485017303356,0.0 48.17780672322389 24.47779074514052 0.0 46.602959113076125 30.33183534230805 0.0 0.0 0.0 0.0,14.373635638450576 4.794537184071822 4.794537184071822 0.0 0.0 44.179309741689295 31.749653560165648 12.965578028838586 13.213763929025836 5.601050810983688 6.041840829147961 5.907179729351506 0.0 5.969305287951849
CCCCCc1nnc(NC(=O)[C@@H](F)C(F)(F)F)s1,22.3561973747711 0.0 10.197363616602075 0.0 44.95499760434843 5.316788604006331 5.007623696852765 0.0 0.0 22.375524087125577,5.316788604006331 28.452517258907346 11.21535880699783 0.0 31.193825765321417 0.0 0.0 0.0 0.0 22.693218670538613,0.0 10.111325788078153 4.39041504767482 13.171245143024459 10.197363616602075 31.10216632347738 6.4208216229260096 6.4208216229260096 0.0 5.007623696852765 0.0 5.131558479839333 12.078855124861798 6.176298517443475
C[C@H](OC(=O)c1cnc(-c2ncccn2)s1)c1ccc(C#N)cc1,9.53140013787187 5.261891554738487 14.951935562841626 0.0 13.027703587438927 0.0 64.92641623424257 0.0 16.901249507644966 17.306091165886585,0.0 20.921240850793474 4.736862953800049 11.33111286753076 33.82629094860604 48.92236605714728 0.0 10.832028194852693 0.0 0.0,4.736862953800049 0.0 19.746472746913447 5.261891554738487 11.336785877934737 12.13273413692322 30.686289896772447 12.393687143226153 17.829516376102344 10.981113581449602 10.832028194852693 0.0 0.0 5.969305287951849
O=C(C(F)F)N1CCC[C@H]1CNCc1ccc(F)cc1F,22.3561973747711 0.0 10.216698334856808 0.0 31.85368522577175 13.08951281182515 35.39699437917362 0.0 0.0 5.907179729351506,5.316788604006331 36.36388784603429 11.339293589984397 11.63444168209179 18.405094737549014 18.19910120538483 0.0 0.0 0.0 17.56166019069928,10.216698334856808 4.794537184071822 8.78083009534964 8.78083009534964 0.0 6.06636706846161 18.90801031431363 37.305928607044294 0.0 11.63444168209179 0.0 0.0 5.907179729351506 6.425444744859191
CC#CCCNCc1cnc([C@H]2CCCO2)s1,4.736862953800049 0.0 10.30076712495354 0.0 38.83492486212954 13.151638370425493 16.081614462167142 0.0 11.840868637711289 11.336785877934737,5.316788604006331 18.135616891372702 11.281619359712625 11.840868637711289 42.174939346771026 6.196843571613076 0.0 0.0 0.0 0.0,10.05365155780638 0.0 4.9839785209472085 0.0 23.177654515646026 0.0 19.765380445542643 37.19120716457846 0.0 11.111590084601069 0.0 0.0 0.0 0.0
Cc1c([C@H](C)NCc2c(F)cccc2F)cnn1C,8.78083009534964 0.0 15.097273347452553 7.04767198267719 26.434071634441786 0.0 52.85121743733215 0.0 0.0 0.0,5.316788604006331 9.780484743446223 13.592428388589765 18.558178881782414 29.786409007081037 24.395944776997908 0.0 0.0 0.0 8.78083009534964,5.316788604006331 4.681802935145185 8.78083009534964 5.098681808301038 0.0 6.06636706846161 25.980208536304467 36.45510019598018 6.196843571613076 11.63444168209179 0.0 0.0 0.0 0.0
CCc1nnc(CNC(=O)c2cc(C)sn2)s1,4.794537184071822 0.0 19.887692202024855 0.0 26.813052428219834 0.0 26.6526896507169 0.0 0.0 28.776452218852917,5.316788604006331 20.47808332737003 12.965578028838586 6.923737199690624 32.30459696601773 6.06636706846161 0.0 0.0 0.0 0.0,5.316788604006331 4.794537184071822 0.0 4.3735399814164495 10.197363616602075 18.26052307762536 30.943412502644918 4.877147193701299 6.544756405912575 15.70917538855399 0.0 0.0 5.907179729351506 0.0
CC(C)c1nnc(CCC(=O)NC2(C(C)C)CC2)o1,9.211688121125169 0.0 15.514152220608405 5.917906046161393 64.83506658901128 0.0 11.781447844051817 0.0 0.0 5.907179729351506,5.316788604006331 21.643468598336923 11.21535880699783 5.917906046161393 64.65676755775374 4.417150937053347 0.0 0.0 0.0 0.0,9.733939541059678 4.794537184071822 0.0 0.0 10.197363616602075 27.694948798762496 18.75954929201341 24.298474544396754 0.0 0.0 0.0 17.688627573403323 0.0 0.0
C=C(C)CCN1[C@H]2CCC[C@H]1CN(C(=O)[C@@H](C)SC)C2,4.794537184071822 0.0 9.799819461700956 0.0 56.864380579363385 25.890038401249132 12.152040213667764 0.0 0.0 17.66906467874262,0.0 58.93065728057969 4.794537184071822 0.0 39.53076089108528 12.152040213667764 0.0 0.0 0.0 0.0,4.899909730850478 9.694446914922299 0.0 11.761884949391115 6.578935683598497 11.993926152995277 39.365708451670685 31.717950876033647 5.249938029982174 0.0 0.0 5.907179729351506 0.0 0.0
